State,Name,Temperature,Dew_Point,GHI,Relative_Humidity,Surface_Albedo,Pressure,Precipitable_Water,Wind_Speed,Suitability
Texas,2W Permian Solar Project Hybrid,16.180559360730594,0.5174885844748859,248.67054794520547,43.817026255707766,0.244986301369863,899.45799086758,1.0315867579908675,2.6646347031963478,1
Texas,Prospero Solar 1,14.685913242009134,-1.1701826484018265,236.66529680365295,39.8439200913242,0.1958630136986301,829.4727168949772,1.1901598173515984,3.648173515981735,1
Texas,Titan (Texas) Solar Project,15.603116438356166,8.3812899543379,208.26164383561644,66.50423630136986,0.2131780821917808,954.8188356164384,2.072705479452055,3.399337899543379,1
Texas,Greasewood solar farm,25.246141552511418,16.747066210045663,224.99155251141556,64.33033561643836,0.1767671232876712,1008.4400684931506,3.3825114155251144,3.334931506849315,1
Texas,Taygete Energy Project solar farm,13.610228310502285,3.8429109589041097,187.58390410958904,56.90576027397261,0.1987123287671233,993.0529680365296,1.5707077625570778,3.144280821917808,1
California,Av Solar Ranch One solar farm,11.413424657534248,7.038207762557078,166.8154109589041,77.30621232876713,0.2345479452054794,990.9466894977168,1.9320091324200916,3.093881278538813,1
California,Mount solar farm (United States),18.180502283105024,8.176004566210047,222.5591324200913,57.70443607305936,0.1774246575342465,932.0275114155252,2.0256735159817354,3.4422146118721466,1
Nevada,Copper Mountain Solar 5,23.703767123287676,14.567248858447488,219.39109589041092,62.250710045662096,0.1516986301369863,989.4933789954338,3.0153196347031965,3.05162100456621,1
Texas,Galloway 1 solar farm,18.086746575342467,8.749703196347033,219.20559360730596,59.91350684931506,0.1333698630136986,933.9510273972604,2.086780821917808,3.337351598173516,1
Nevada,Moapa Southern Paiute solar farm,13.978276255707762,-0.1678424657534246,249.04748858447488,47.79974315068493,0.2191780821917808,863.3970319634703,0.9058447488584476,2.6464497716894977,1
Texas,Phoebe Solar,18.595502283105024,7.672579908675799,227.0425799086758,55.0651301369863,0.1797260273972603,925.9058219178082,1.9666438356164384,3.5142123287671234,1
California,Westland solar farm Aquamarine,22.858721461187216,2.6011187214611877,249.0188356164384,33.053430365296805,0.2657260273972603,992.5738584474884,1.5321004566210046,2.021461187214612,1
Colorado,Bighorn Solar 1,24.23670091324201,19.638721461187217,213.53481735159815,77.45773173515981,0.1767671232876712,1014.736301369863,3.444897260273973,3.9634246575342464,1
Texas,Misae Solar 1,10.932066210045663,-1.597625570776256,211.6708904109589,48.05695433789954,0.2941095890410959,829.5156392694064,1.1160730593607306,3.1706164383561646,1
Virginia,Pleinmont Solar 2,11.116198630136989,6.983561643835617,166.6755707762557,78.3693299086758,0.2262739726027397,988.4997716894976,1.909132420091324,3.092648401826484,1
Alabama,Muscle Shoals solar farm,10.801906392694065,-2.02439497716895,212.7587899543379,47.12712442922374,0.2986575342465754,820.4825342465754,1.086449771689498,3.1773858447488585,1
Texas,Azure Sky Solar,18.1975799086758,7.957077625570776,222.17945205479447,56.93063698630137,0.1400547945205479,931.4101598173517,2.0050228310502285,3.475502283105023,1
Texas,Long Draw Solar,14.96287671232877,6.757294520547945,228.89794520547943,66.63478767123287,0.2210958904109589,977.6962328767124,1.372568493150685,2.230068493150685,1
Texas,Maplewood (Canadian Solar) solar farm 1,14.551130136986302,7.863561643835617,201.18698630136987,68.10417237442923,0.2040547945205479,965.5057077625572,2.0631735159817355,3.2700342465753423,1
Georgia,Cool Springs Solar,9.857796803652969,-1.5248630136986303,202.8442922374429,51.16121232876713,0.2913150684931507,832.8617579908675,1.0955251141552511,3.256472602739726,1
California,Tranquillity solar farm,9.150719178082191,-2.5129794520547946,197.00308219178083,50.04413242009132,0.3436986301369863,836.550799086758,1.0490525114155251,4.143276255707763,1
Georgia,Twiggs Solar,18.109520547945205,8.426449771689498,220.05125570776252,58.65981278538813,0.1362191780821917,935.0489726027396,2.059691780821918,3.443127853881279,1
Texas,ANSON Solar Center,15.453641552511415,2.556769406392694,228.25890410958905,48.23024885844749,0.1997534246575342,882.8224885844749,1.4701940639269409,3.668641552511416,1
California,Athos solar farm 2,8.929155251141554,3.323824200913242,174.60502283105023,71.8310799086758,0.3356986301369862,962.5848173515982,1.6627283105022832,3.543356164383562,1
Texas,Corazon Energy solar farm,16.814394977168952,4.297819634703196,226.38938356164385,49.67521461187215,0.2160273972602739,905.6570776255708,1.6632305936073062,3.594029680365297,1
Nevada,Dodge Flat solar farm,5.882682648401826,-3.74541095890411,206.6582191780822,57.10241666666666,0.4102465753424658,789.1273972602739,0.8756849315068493,3.83453196347032,1
Ohio,Hillcrest Solar,12.476255707762556,0.3910502283105023,211.24486301369865,49.34218607305936,0.2661095890410959,869.8930365296803,1.332876712328767,3.433755707762557,1
Texas,Holstein 1 (Duke) solar farm,7.257488584474886,0.1354566210045662,173.94760273972602,65.12196461187214,0.3412328767123287,936.2949771689498,1.3036187214611874,3.691312785388128,1
Illinois,Prairie Wolf Solar,19.12600456621005,9.157054794520548,219.9350456621005,57.685307077625566,0.1928493150684931,951.2601598173516,2.23189497716895,3.3239840182648406,1
Texas,Rambler solar farm,11.637990867579909,4.000901826484019,189.9316210045662,64.79761187214612,0.2277808219178082,969.0892694063926,1.461678082191781,2.681746575342466,1
Indiana,Riverstart Solar Park,10.196609589041095,5.237454337899544,177.74223744292237,74.76850913242009,0.3172054794520548,968.8793378995434,1.8131392694063928,3.3480022831050227,1
Texas,Roadrunner (Enel) solar farm 1,11.035993150684932,-0.2742694063926941,199.2304794520548,51.47202511415525,0.2601917808219178,863.988698630137,1.2458561643835615,3.37554794520548,1
Texas,Sand Fork Solar,15.68716894977169,9.257534246575345,207.00616438356164,69.6781894977169,0.1772328767123287,952.8438356164384,2.115958904109589,3.26337899543379,1
