State,Name,Temperature,Dew_Point,GHI,Pressure,Wind_Speed,Suitability
California,Alta Wind Energy Center I-XI,14.997716894977168,0.4098059360730594,249.88995433789955,893.8698630136986,2.85837899543379,1
New Mexico,Western Spirit Wind,13.935296803652967,-0.0555593607305936,235.526598173516,827.8247716894978,3.538002283105023,1
Oklahoma,Traverse Wind Energy Center,15.871803652968037,7.771484018264839,211.09166666666667,956.025,3.3522260273972604,1
Texas,Los Vientos Wind Farm,24.291575342465755,15.576575342465755,227.20616438356168,1007.9425799086758,3.5091552511415527,1
Oregon,Shepherds Flat Wind Farm,12.449315068493153,3.16851598173516,183.4618721461187,992.0665525114156,2.954920091324201,1
Indiana,Meadow Lake Wind Farm,10.91335616438356,6.610776255707763,171.587899543379,990.7796803652968,3.3168721461187216,1
Texas,Roscoe Wind Project,17.68142694063927,7.804223744292237,226.45559360730596,931.4865296803652,3.481746575342466,1
Texas,Javelina Wind Energy Center,22.84735159817352,14.314748858447487,224.1384703196347,988.90799086758,3.185125570776256,1
Texas,Horse Hollow Wind Energy Center,17.465730593607308,8.386438356164383,222.26872146118723,934.5380136986302,3.301803652968037,1
California,Tehachapi Pass Wind Farm,12.79956621004566,-0.2589269406392694,247.53116438356165,860.3229452054794,2.761552511415525,1
Texas,Capricorn Ridge Wind Farm,18.00107305936073,7.766917808219178,226.4763698630137,926.1392694063928,3.44906392694064,1
California,San Gorgonio Pass Wind Farm,22.522968036529683,1.967694063926941,248.92123287671237,991.3352739726027,2.034326484018265,1
Texas,Peñascal Wind Farm,23.702922374429225,19.09311643835617,220.2308219178082,1015.0530821917808,3.9982876712328768,1
Colorado,Limon Wind Energy Center,10.437488584474886,-0.5448173515981736,211.84703196347036,827.5767123287671,3.2235730593607306,1
Indiana,Fowler Ridge Wind Farm,10.495182648401826,6.43703196347032,172.97785388127855,988.1647260273973,3.212488584474886,1
Colorado,Rush Creek Wind Project,10.539018264840182,-0.6911986301369863,211.69326484018265,820.6050228310502,3.041221461187215,1
Texas,Sweetwater Wind Farm,17.373059360730593,7.909771689497718,223.17020547945205,931.3719178082192,3.6050456621004567,1
California,Altamont Pass Wind Farm,14.514646118721462,7.249874429223745,226.2972602739726,979.8342465753424,2.323070776255708,1
Kansas,Flat Ridge Wind Farm,14.725331050228313,7.493527397260275,205.90536529680367,964.3175799086758,3.240296803652968,1
Colorado,Cedar Creek Wind Farm,9.565525114155252,-0.5824543378995434,199.75114155251143,834.624200913242,3.158801369863014,1
Wyoming,Cedar Springs Wind Farm,8.723333333333334,-2.144851598173516,188.09931506849315,837.1357305936073,3.9970205479452057,1
